Emoji,Sentiment_score,Sentiment
💆,3,Positive
🍴,3,Positive
😧,1,Negative
🇸,3,Positive
😮,3,Positive
▓,2,Neutral
🚫,1,Negative
😽,3,Positive
🌈,3,Positive
🙀,3,Positive
⚠,2,Neutral
🎮,3,Positive
╯,2,Neutral
🍆,3,Positive
🍰,3,Positive
✓,2,Neutral
👐,1,Negative
🙇,3,Positive
🍟,3,Positive
🍌,3,Positive
💑,3,Positive
👬,0,Irrelevant
🐣,3,Positive
🎃,3,Positive
▬,2,Neutral
￼,1,Negative
😟,3,Positive
🐾,3,Positive
🎓,3,Positive
🏊,3,Positive
🍫,3,Positive
📷,3,Positive
👄,3,Positive
🌼,3,Positive
🚶,2,Neutral
🐱,3,Positive
║,2,Neutral
🐸,2,Neutral
🇺,3,Positive
👿,1,Negative
🚬,3,Positive
✿,2,Neutral
📖,3,Positive
🐒,3,Positive
🌍,3,Positive
┊,3,Positive
🐥,3,Positive
🌀,2,Neutral
🐼,2,Neutral
🎥,2,Neutral
💄,3,Positive
💸,3,Positive
⛔,3,Positive
●,2,Neutral
🏀,3,Positive
💉,3,Positive
💟,3,Positive
🚗,2,Neutral
😯,3,Positive
📝,2,Neutral
═,2,Neutral
♦,3,Positive
💭,2,Neutral
🌙,3,Positive
🐟,3,Positive
👣,3,Positive
☞,2,Neutral
✂,1,Negative
🗿,3,Positive
🍝,3,Positive
👪,1,Negative
🍭,3,Positive
🌃,2,Neutral
❌,3,Positive
🐰,3,Positive
💊,3,Positive
🚨,3,Positive
😦,1,Negative
🍪,3,Positive
🍣,1,Negative
╭,2,Neutral
✧,2,Neutral
🎆,3,Positive
╮,2,Neutral
🎎,3,Positive
🇩,3,Positive
✅,3,Positive
👹,2,Neutral
📱,2,Neutral
🙍,1,Negative
🍑,3,Positive
🎼,2,Neutral
🔊,3,Positive
🌌,3,Positive
🍎,3,Positive
🐻,3,Positive
─,2,Neutral
╰,2,Neutral
💇,3,Positive
♬,2,Neutral
♚,2,Neutral
🔴,2,Neutral
🍱,1,Negative
🍊,3,Positive
🍒,3,Positive
🐭,3,Positive
👟,3,Positive
🌎,3,Positive
🍍,3,Positive
🐮,3,Positive
📲,0,Irrelevant
☼,2,Neutral
🌅,3,Positive
🇷,3,Positive
👠,3,Positive
🌽,3,Positive
💧,1,Negative
❓,2,Neutral
🍬,3,Positive
😺,3,Positive
🐴,2,Neutral
🚀,3,Positive
¦,3,Positive
💢,2,Neutral
🎬,2,Neutral
🍧,3,Positive
🍜,3,Positive
🐏,3,Positive
🐘,2,Neutral
👧,3,Positive
⠀,2,Neutral
🏄,3,Positive
➤,2,Neutral
⬆,2,Neutral
🍋,0,Irrelevant
🆗,3,Positive
⚪,2,Neutral
📺,3,Positive
🍅,3,Positive
⛅,3,Positive
🐢,2,Neutral
👙,3,Positive
🏡,3,Positive
🌾,3,Positive
◉,2,Neutral
✏,0,Irrelevant
🐬,3,Positive
🍤,2,Neutral
🇹,3,Positive
♣,3,Positive
🐝,2,Neutral
🌝,2,Neutral
🇮,3,Positive
🔋,1,Negative
🐍,3,Positive
♔,3,Positive
🍳,3,Positive
🔵,3,Positive
😾,1,Negative
🌕,3,Positive
🐨,3,Positive
🔐,3,Positive
💿,3,Positive
❁,2,Neutral
🌳,3,Positive
👰,3,Positive
❀,2,Neutral
⚓,3,Positive
🚴,3,Positive
▀,2,Neutral
👗,0,Irrelevant
➕,3,Positive
💬,3,Positive
▒,2,Neutral
🔜,3,Positive
🍨,3,Positive
💲,2,Neutral
⛽,2,Neutral
🍙,3,Positive
🍗,3,Positive
🍲,0,Irrelevant
🍥,1,Negative
▸,2,Neutral
♛,2,Neutral
😼,3,Positive
🐙,3,Positive
👨,3,Positive
🍚,3,Positive
🍖,3,Positive
♨,3,Positive
🎹,2,Neutral
♕,2,Neutral
▃,3,Positive
🚘,3,Positive
🍏,2,Neutral
👩,3,Positive
👦,2,Neutral
🇬,2,Neutral
🇧,2,Neutral
☠,2,Neutral
🐠,3,Positive
🚹,3,Positive
💵,3,Positive
✰,3,Positive
╠,2,Neutral
👛,3,Positive
🚙,2,Neutral
🌱,3,Positive
💻,2,Neutral
🌏,3,Positive
▄,2,Neutral
👓,2,Neutral
◄,2,Neutral
⚾,1,Negative
🌲,3,Positive
👴,3,Positive
🏠,3,Positive
🍇,3,Positive
🍘,3,Positive
🍛,3,Positive
🐇,3,Positive
🔞,2,Neutral
👵,3,Positive
◀,2,Neutral
🔙,2,Neutral
🌵,3,Positive
🐽,2,Neutral
🍮,1,Negative
🎇,3,Positive
🐎,3,Positive
➔,2,Neutral
💶,2,Neutral
🐤,3,Positive
╩,2,Neutral
🛀,3,Positive
🌑,3,Positive
🚲,0,Irrelevant
🐑,2,Neutral
🏁,3,Positive
🍞,2,Neutral
🎾,3,Positive
╚,2,Neutral
🈹,2,Neutral
🐳,2,Neutral
👮,1,Negative
☹,1,Negative
🐵,3,Positive
✪,2,Neutral
◕,0,Irrelevant
🗼,3,Positive
▐,2,Neutral
♠,2,Neutral
┳,1,Negative
👺,1,Negative
🐚,2,Neutral
👂,2,Neutral
🗽,2,Neutral
🍵,3,Positive
🆒,2,Neutral
🍯,3,Positive
🐺,2,Neutral
⇨,3,Positive
➨,2,Neutral
🌓,3,Positive
🔒,3,Positive
╬,2,Neutral
👳,3,Positive
🌂,2,Neutral
🚌,2,Neutral
♩,3,Positive
🍡,2,Neutral
❥,2,Neutral
🎡,2,Neutral
💌,3,Positive
🐩,2,Neutral
🌜,3,Positive
⌚,2,Neutral
🚿,3,Positive
🐖,2,Neutral
🔆,3,Positive
🌛,3,Positive
💂,1,Negative
🐔,2,Neutral
🙎,1,Negative
🏩,3,Positive
🇫,3,Positive
🔨,0,Irrelevant
📢,0,Irrelevant
🐦,0,Irrelevant
🐲,2,Neutral
♻,3,Positive
🌘,3,Positive
🍐,3,Positive
🌔,3,Positive
╥,3,Positive
❊,2,Neutral
👖,0,Irrelevant
🚺,2,Neutral
😗,3,Positive
🎭,0,Irrelevant
🐄,3,Positive
◟,2,Neutral
🍢,2,Neutral
🎨,2,Neutral
⬇,3,Positive
🚼,3,Positive
⛲,2,Neutral
▁,2,Neutral
🇴,2,Neutral
🌗,3,Positive
🌖,3,Positive
🔅,3,Positive
👜,0,Irrelevant
🐌,3,Positive
💼,3,Positive
🚕,2,Neutral
🐹,3,Positive
🌠,3,Positive
🐈,2,Neutral
⇧,2,Neutral
☎,2,Neutral
🌁,2,Neutral
⚫,3,Positive
♧,3,Positive
🏰,2,Neutral
🚵,2,Neutral
🎢,3,Positive
🎷,3,Positive
🎐,2,Neutral
┈,1,Negative
╗,2,Neutral
╱,2,Neutral
🌇,3,Positive
⏰,3,Positive
⇩,2,Neutral
🚂,2,Neutral
◠,3,Positive
🎿,3,Positive
✦,2,Neutral
🆔,3,Positive
⛪,2,Neutral
🌒,3,Positive
🐪,3,Positive
╔,2,Neutral
╝,3,Positive
👔,3,Positive
🔱,2,Neutral
🆓,2,Neutral
🐋,0,Irrelevant
▽,3,Positive
▂,2,Neutral
🐛,3,Positive
👕,3,Positive
🚋,2,Neutral
💳,3,Positive
🌆,2,Neutral
🏧,3,Positive
💡,3,Positive
🔹,2,Neutral
⬅,3,Positive
🍠,0,Irrelevant
🐫,2,Neutral
🏪,2,Neutral
۩,2,Neutral
🇱,0,Irrelevant
📹,3,Positive
👞,3,Positive
🚑,0,Irrelevant
🆘,3,Positive
👚,3,Positive
🚍,3,Positive
□,1,Negative
🐂,2,Neutral
🚣,3,Positive
✳,2,Neutral
🏉,3,Positive
🗻,3,Positive
🐀,2,Neutral
╦,2,Neutral
⛺,3,Positive
🐕,2,Neutral
🏂,3,Positive
👡,3,Positive
📻,3,Positive
✒,2,Neutral
🌰,3,Positive
🏢,2,Neutral
🎒,3,Positive
⌒,3,Positive
🏫,1,Negative
📴,3,Positive
🚢,3,Positive
🚚,2,Neutral
🐉,2,Neutral
❒,2,Neutral
🐊,2,Neutral
🔔,3,Positive
◢,3,Positive
🏥,0,Irrelevant
❔,0,Irrelevant
🚖,2,Neutral
🃏,3,Positive
▼,2,Neutral
▌,0,Irrelevant
☛,2,Neutral
✩,2,Neutral
💒,3,Positive
🚤,2,Neutral
🐐,3,Positive
■,1,Negative
🔚,3,Positive
🎻,2,Neutral
🔷,2,Neutral
🚦,2,Neutral
🔓,3,Positive
🎽,3,Positive
📅,3,Positive
🎺,3,Positive
✯,2,Neutral
🍈,1,Negative
✉,0,Irrelevant
╣,2,Neutral
◤,3,Positive
○,3,Positive
🍼,3,Positive
📀,2,Neutral
🚛,2,Neutral
📓,2,Neutral
☉,2,Neutral
💴,2,Neutral
┼,2,Neutral
🐃,2,Neutral
➰,1,Negative
🔌,0,Irrelevant
🍄,2,Neutral
📕,2,Neutral
📣,3,Positive
🚓,2,Neutral
🐗,3,Positive
↪,2,Neutral
⛳,3,Positive
┻,1,Negative
┛,3,Positive
┃,0,Irrelevant
👱,2,Neutral
⏳,0,Irrelevant
💺,0,Irrelevant
🏇,1,Negative
☻,0,Irrelevant
📞,3,Positive
Ⓐ,2,Neutral
🌉,3,Positive
🚩,0,Irrelevant
✎,3,Positive
📃,3,Positive
🏨,2,Neutral
📌,1,Negative
♎,2,Neutral
💷,3,Positive
🚄,3,Positive
▲,3,Positive
⛵,3,Positive
🔸,2,Neutral
⌛,3,Positive
🚜,3,Positive
🐆,2,Neutral
👒,0,Irrelevant
❕,0,Irrelevant
🔛,3,Positive
♢,2,Neutral
🇲,3,Positive
❅,3,Positive
👝,3,Positive
✞,0,Irrelevant
◡,2,Neutral
🎋,3,Positive
👥,3,Positive
📵,2,Neutral
🐡,2,Neutral
◆,3,Positive
🏯,2,Neutral
☂,2,Neutral
🔭,0,Irrelevant
🎪,2,Neutral
🐜,3,Positive
♌,3,Positive
☐,1,Negative
👷,3,Positive
↳,2,Neutral
🔈,2,Neutral
📄,3,Positive
📍,2,Neutral
🚐,3,Positive
🚔,2,Neutral
🌋,3,Positive
📡,3,Positive
⏩,2,Neutral
🚳,3,Positive
✘,3,Positive
۞,2,Neutral
☾,2,Neutral
🅰,3,Positive
📥,2,Neutral
🇼,0,Irrelevant
┓,3,Positive
┣,3,Positive
Ⓛ,0,Irrelevant
Ⓔ,0,Irrelevant
🔦,2,Neutral
👤,3,Positive
🚁,2,Neutral
🎠,3,Positive
🐁,2,Neutral
📗,0,Irrelevant
┐,0,Irrelevant
☮,0,Irrelevant
♂,2,Neutral
◞,2,Neutral
📯,2,Neutral
🔩,0,Irrelevant
👢,3,Positive
◂,2,Neutral
📰,3,Positive
📶,2,Neutral
🚥,2,Neutral
🌄,2,Neutral
🗾,2,Neutral
🔶,2,Neutral
🏤,2,Neutral
🎩,2,Neutral
Ⓜ,3,Positive
🔧,1,Negative
🐅,2,Neutral
♮,2,Neutral
🅾,0,Irrelevant
🔄,2,Neutral
☄,2,Neutral
☨,2,Neutral
📦,2,Neutral
🚊,3,Positive
🔲,3,Positive
🔁,2,Neutral
△,2,Neutral
📆,3,Positive
❛,0,Irrelevant
📉,0,Irrelevant
▵,0,Irrelevant
🔎,3,Positive
☜,2,Neutral
🇯,0,Irrelevant
🇵,0,Irrelevant
📘,3,Positive
✡,2,Neutral
ⓔ,3,Positive
🔑,3,Positive
🔃,2,Neutral
👃,0,Irrelevant
⭕,0,Irrelevant
🔘,2,Neutral
ⓒ,0,Irrelevant
🚭,3,Positive
🚉,3,Positive
🚪,3,Positive
➳,0,Irrelevant
🚃,3,Positive
┯,0,Irrelevant
🏬,2,Neutral
☽,2,Neutral
🆙,0,Irrelevant
🆖,3,Positive
☪,2,Neutral
┗,3,Positive
🚮,0,Irrelevant
┫,2,Neutral
Ⓞ,0,Irrelevant
❇,3,Positive
✴,3,Positive
┌,0,Irrelevant
☊,3,Positive
🔕,1,Negative
⬛,1,Negative
❝,2,Neutral
❞,2,Neutral
🚞,3,Positive
🍶,3,Positive
🌐,3,Positive
♀,2,Neutral
🚅,3,Positive
🚒,2,Neutral
➣,2,Neutral
♋,2,Neutral
♍,3,Positive
🕝,2,Neutral
ⓐ,3,Positive
✗,0,Irrelevant
📙,3,Positive
Ⓢ,2,Neutral
📋,3,Positive
⇢,0,Irrelevant
🎱,3,Positive
🐞,2,Neutral
🔺,2,Neutral
ⓡ,3,Positive
🎍,2,Neutral
♤,3,Positive
🎲,2,Neutral
🎯,3,Positive
〠,2,Neutral
🔉,3,Positive
↩,3,Positive
🚾,2,Neutral
🎣,1,Negative
🔣,2,Neutral
❎,1,Negative
➥,2,Neutral
🅱,2,Neutral
🎌,3,Positive
◣,2,Neutral
⏬,3,Positive
♭,2,Neutral
💠,2,Neutral
ⓞ,3,Positive
🔳,0,Irrelevant
🏭,0,Irrelevant
🔰,2,Neutral
🎳,0,Irrelevant
☚,3,Positive
➽,0,Irrelevant
➫,0,Irrelevant
➖,1,Negative
🏮,2,Neutral
📛,2,Neutral
꒰,0,Irrelevant
꒱,0,Irrelevant
◝,0,Irrelevant
📑,3,Positive
🎦,2,Neutral
ⓧ,3,Positive
🇨,2,Neutral
🇳,2,Neutral
🔟,3,Positive
〓,3,Positive
ⓜ,0,Irrelevant
➠,3,Positive
🚆,0,Irrelevant
🚠,2,Neutral
℅,1,Negative
☃,0,Irrelevant
🚽,3,Positive
📐,2,Neutral
ⓝ,3,Positive
✮,2,Neutral
⇦,3,Positive
👲,0,Irrelevant
🚡,0,Irrelevant
🎑,2,Neutral
🔬,3,Positive
➗,0,Irrelevant
📈,0,Irrelevant
⌘,2,Neutral
⏪,0,Irrelevant
╹,2,Neutral
◎,3,Positive
🔼,2,Neutral
꒦,1,Negative
📎,3,Positive
⑅,3,Positive
⍝,2,Neutral
📁,2,Neutral
✭,3,Positive
➲,2,Neutral
♓,0,Irrelevant
┏,3,Positive
☇,3,Positive
♺,2,Neutral
♞,2,Neutral
࿎,1,Negative
📠,2,Neutral
👘,3,Positive
↙,3,Positive
Ⓕ,0,Irrelevant
Ⓦ,0,Irrelevant
Ⓟ,0,Irrelevant
🕑,0,Irrelevant
💽,2,Neutral
🕛,3,Positive
🎫,2,Neutral
♈,1,Negative
📟,2,Neutral
℃,2,Neutral
↬,3,Positive
🕒,2,Neutral
🇰,2,Neutral
↱,2,Neutral
✍,3,Positive
⇐,2,Neutral
🏦,3,Positive
🔻,3,Positive
ⓟ,3,Positive
ⓕ,3,Positive
ⓘ,3,Positive
♿,3,Positive
⇗,3,Positive
⇘,3,Positive
ⓨ,3,Positive
ⓙ,3,Positive
▫,3,Positive
🔇,3,Positive
⌃,1,Negative
🔖,3,Positive
📜,3,Positive
♏,2,Neutral
🚝,3,Positive
☢,2,Neutral
🎏,2,Neutral
┘,1,Negative
✝,1,Negative
❖,2,Neutral
⍣,1,Negative
📮,1,Negative
🕕,1,Negative
🇭,2,Neutral
◜,2,Neutral
🔯,3,Positive
➸,3,Positive
꒵,3,Positive
🕥,1,Negative
♙,2,Neutral
▿,2,Neutral
⚃,2,Neutral
✽,3,Positive
📼,3,Positive
🕐,1,Negative
🀄,3,Positive
✾,2,Neutral
✬,3,Positive
🆑,2,Neutral
✫,3,Positive
🕔,1,Negative
❣,3,Positive
➱,2,Neutral
🆕,2,Neutral
➢,2,Neutral
↕,2,Neutral
📫,3,Positive
🉐,3,Positive
♊,2,Neutral
🈂,1,Negative
🎰,1,Negative
҂,1,Negative
╤,1,Negative
➛,2,Neutral
♝,2,Neutral
❋,2,Neutral
✆,2,Neutral
📔,3,Positive
